Nome:  Kyan Dominguez, Nota: 5.10, Situacao: Reprovado
Nome:  Aaliyah Parker, Nota: 2.20, Situacao: Reprovado
Nome:  Alexis Atkins, Nota: 4.80, Situacao: Reprovado
Nome:  Elliot Andrade, Nota: 1.30, Situacao: Reprovado
Nome:  Turner Luna, Nota: 6.30, Situacao: Reprovado
Nome:  Ramon Wolf, Nota: 0.70, Situacao: Reprovado
Nome:  Maleah Ramsey, Nota: 5.00, Situacao: Reprovado
Nome:  Journey Lamb, Nota: 7.30, Situacao: Aprovado
Nome:  Gracelyn Lawrence, Nota: 7.90, Situacao: Aprovado
Nome:  Arielle Costa, Nota: 9.50, Situacao: Aprovado
Nome:  Guadalupe Jacobson, Nota: 0.00, Situacao: Reprovado
Nome:  Ayana Velez, Nota: 0.40, Situacao: Reprovado
Nome:  Kiera Cunningham, Nota: 6.00, Situacao: Reprovado
Nome:  Reagan Lucero, Nota: 7.70, Situacao: Aprovado
Nome:  Azul Gordon, Nota: 7.00, Situacao: Aprovado
Nome:  Allison Benson, Nota: 2.30, Situacao: Reprovado
Nome:  Marissa Pruitt, Nota: 1.80, Situacao: Reprovado
Nome:  Baylee Mccormick, Nota: 5.90, Situacao: Reprovado
Nome:  Destiney Barnett, Nota: 2.90, Situacao: Reprovado
Nome:  Branden Griffith, Nota: 8.30, Situacao: Aprovado
Nome:  Ainsley Becker, Nota: 5.00, Situacao: Reprovado
Nome:  Keshawn Aguirre, Nota: 5.50, Situacao: Reprovado
Nome:  Christine Krause, Nota: 0.10, Situacao: Reprovado
Nome:  Colin Bennett, Nota: 8.40, Situacao: Aprovado
Nome:  Ryann Levine, Nota: 0.10, Situacao: Reprovado
Nome:  Mariah Sanchez, Nota: 3.00, Situacao: Reprovado
Nome:  Lexi Harmon, Nota: 3.20, Situacao: Reprovado
Nome:  Giovanna Suarez, Nota: 1.80, Situacao: Reprovado
Nome:  Finn Ramsey, Nota: 5.40, Situacao: Reprovado
Nome:  Alexander Murphy, Nota: 0.80, Situacao: Reprovado
Nome:  Araceli Larsen, Nota: 7.80, Situacao: Aprovado
Nome:  Brayden Horne, Nota: 6.90, Situacao: Reprovado
Nome:  Sam Gordon, Nota: 4.10, Situacao: Reprovado
Nome:  Ryan Ramsey, Nota: 9.60, Situacao: Aprovado
Nome:  Mylie Christensen, Nota: 5.30, Situacao: Reprovado
Nome:  Layne Camacho, Nota: 4.50, Situacao: Reprovado
Nome:  Alvin Moyer, Nota: 5.20, Situacao: Reprovado
Nome:  Alyvia Munoz, Nota: 2.90, Situacao: Reprovado
Nome:  Jaqueline Zuniga, Nota: 0.80, Situacao: Reprovado
Nome:  Ayanna Mccoy, Nota: 8.10, Situacao: Aprovado
Nome:  Guadalupe Fisher, Nota: 4.80, Situacao: Reprovado
Nome:  Devon Blackburn, Nota: 7.50, Situacao: Aprovado
Nome:  Krish Higgins, Nota: 1.60, Situacao: Reprovado
Nome:  Zayden Hodge, Nota: 7.70, Situacao: Aprovado
Nome:  Sharon Garner, Nota: 5.70, Situacao: Reprovado
Nome:  Simon Browning, Nota: 2.90, Situacao: Reprovado
Nome:  Liliana Clarke, Nota: 1.00, Situacao: Reprovado
Nome:  Sloane Martin, Nota: 0.50, Situacao: Reprovado
Nome:  Frederick Roberts, Nota: 5.20, Situacao: Reprovado
Nome:  Laurel Hays, Nota: 2.80, Situacao: Reprovado
Nome:  Greyson Holmes, Nota: 6.50, Situacao: Reprovado
Nome:  Julianne Benitez, Nota: 7.50, Situacao: Aprovado
Nome:  Essence Walters, Nota: 9.60, Situacao: Aprovado
Nome:  Colten Dougherty, Nota: 9.00, Situacao: Aprovado
Nome:  Marcel Potter, Nota: 6.20, Situacao: Reprovado
Nome:  Maritza Todd, Nota: 5.90, Situacao: Reprovado
Nome:  Dominique Grant, Nota: 4.60, Situacao: Reprovado
Nome:  Adolfo Sanford, Nota: 4.90, Situacao: Reprovado
Nome:  Alondra Rodgers, Nota: 2.20, Situacao: Reprovado
Nome:  Kyan Matthews, Nota: 8.50, Situacao: Aprovado
Nome:  Avery Blake, Nota: 0.70, Situacao: Reprovado
Nome:  Aubrey Spears, Nota: 6.90, Situacao: Reprovado
Nome:  Denisse Banks, Nota: 6.30, Situacao: Reprovado
Nome:  Keely Phelps, Nota: 0.80, Situacao: Reprovado
Nome:  Lane Shaffer, Nota: 3.30, Situacao: Reprovado
Nome:  Chaya Perez, Nota: 0.20, Situacao: Reprovado
Nome:  Jaylah Norton, Nota: 5.10, Situacao: Reprovado
Nome:  Evelyn Ford, Nota: 3.50, Situacao: Reprovado
Nome:  Laila Moses, Nota: 4.70, Situacao: Reprovado
Nome:  Kaylynn Leblanc, Nota: 8.30, Situacao: Aprovado
Nome:  Lainey Crane, Nota: 0.70, Situacao: Reprovado
Nome:  Amina Blake, Nota: 4.90, Situacao: Reprovado
Nome:  Averie Norman, Nota: 9.70, Situacao: Aprovado
Nome:  Shamar Carr, Nota: 3.20, Situacao: Reprovado
